表層形, 品詞
に,助詞
、,記号
お,接頭詞
箸,名詞
を,助詞
お,接頭詞
口,名詞
と,助詞
直角,名詞
に,助詞
し,動詞
て,助詞
、,記号
まるで,副詞
小鳥,名詞
に,助詞
餌,名詞
を,助詞
やる,動詞
よう,名詞
な,助動詞
工合,名詞
いに,動詞
お,接頭詞
口,名詞
に,助詞
押し込み,動詞
、,記号
のろのろ,副詞
と,助詞
いただい,動詞
て,助詞
いる,動詞
うち,名詞
に,助詞
、,記号
お母さま,名詞
は,助詞
もう,副詞
お,接頭詞
食事,名詞
を,助詞
全部,名詞
すまし,動詞
て,助詞
しまっ,動詞
て,助詞
、,記号
そっと,副詞
お立ち,名詞
に,助詞
なり,動詞
、,記号
朝日,名詞
の,助詞
当っ,動詞
て,助詞
いる,動詞
壁,名詞
に,助詞
お,接頭詞
背中,名詞
を,助詞
もたせかけ,動詞
、,記号
しばらく,副詞
黙っ,動詞
て,助詞
私,名詞
の,助詞
お,接頭詞
食事,名詞
の,助詞
仕方,名詞
を,助詞
見,動詞
て,助詞
い,動詞
らし,助動詞
て,助詞
、,記号
「,記号
かず子,名詞
は,助詞
、,記号
まだ,副詞
、,記号
駄目,名詞
な,助動詞
の,助詞
ね,助詞
。,記号
朝,名詞
御飯,名詞
が,助詞
一番,名詞
おいしく,形容詞
なる,動詞
よう,名詞
に,助詞
なら,動詞
なけれ,助動詞
ば,助詞
」,記号
と,助詞
おっしゃっ,動詞
た,助動詞
。,記号
「,記号
お母さま,名詞
は,助詞
？,記号
　,記号
おいしい,形容詞
の,助詞
？,記号
」,記号
「,記号
そりゃ,接続詞
もう,副詞
。,記号
私,名詞
は,助詞
病人,名詞
じゃ,助詞
ない,助動詞
もの,名詞
」,記号
「,記号
かず子,名詞
だって,助詞
、,記号
病人,名詞
じゃ,助詞
ない,助動詞
わ,助詞
」,記号
「,記号
だめ,名詞
、,記号
だめ,名詞
」,記号
お母さま,名詞
は,助詞
、,記号
淋し,形容詞
そう,名詞
に,助詞
笑っ,動詞
て,助詞
首,名詞
を,助詞
振っ,動詞
た,助動詞
。,記号
私,名詞
は,助詞
五,名詞
年,名詞
前,名詞
に,助詞
、,記号
肺病,名詞
という,助詞
事,名詞
に,助詞
なっ,動詞
て,助詞
、,記号
寝込ん,動詞
だ,助動詞
事,名詞
が,助詞
あっ,動詞
た,助動詞
けれども,助詞
、,記号
あれ,名詞
は,助詞
、,記号
わがまま,名詞
病,名詞
だっ,助動詞
た,助動詞
という,助詞
事,名詞
を,助詞
私,名詞
は,助詞
知っ,動詞
て,助詞
いる,動詞
。,記号
けれども,接続詞
、,記号
お母さま,名詞
の,助詞
こないだ,名詞
の,助詞
御,接頭詞
病気,名詞
は,助詞
、,記号
あれ,名詞
こそ,助詞
本当に,副詞
心配,名詞
な,助詞
、,記号
哀しい,形容詞
御,接頭詞
病気,名詞
だっ,助動詞
た,助動詞
。,記号
だ,助動詞
のに,助詞
、,記号
お母さま,名詞
は,助詞
、,記号
私,名詞
の,助詞
事,名詞
ばかり,助詞
心配,名詞
し,動詞
て,助詞
いらっしゃる,動詞
。,記号
「,記号
あ,感動詞
」,記号
と,フィラー
私,名詞
が,助詞
言っ,動詞
た,助動詞
。,記号
「,記号
なに,名詞
？,記号
」,記号
と,フィラー
こんど,名詞
は,助詞
、,記号
お母さま,名詞
の,助詞
ほう,名詞
で,助詞
たずねる,動詞
。,記号
顔,名詞
を,助詞
見合せ,動詞
、,記号
何,名詞
か,助詞
、,記号
すっかり,副詞
わかり,動詞
合っ,動詞
た,助動詞
もの,名詞
を,助詞
感じ,動詞
て,助詞
、,記号
うふふ,感動詞
と,助詞
私,名詞
が,助詞
笑う,動詞
と,助詞
、,記号
お母さま,名詞
も,助詞
、,記号
にっこり,副詞
お笑い,名詞
に,助詞
なっ,動詞
た,助動詞
。,記号
何,名詞
か,助詞
、,記号
たまらない,形容詞
恥ずかしい,形容詞
思い,名詞
に,助詞
襲わ,動詞
れ,動詞
た,助動詞
時,名詞
に,助詞
、,記号
あの,連体詞
奇妙,名詞
な,助動詞
、,記号
あ,感動詞
、,記号
という,助詞
幽か,名詞
な,助動詞
叫び声,名詞
が,助詞
出る,動詞
もの,名詞
な,助動詞
の,名詞
だ,助動詞
。,記号
私,名詞
の,助詞
胸,名詞
に,助詞
、,記号
いま,名詞
出し抜け,名詞
に,助詞
